INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR    144   CA      2 16.01900 26.39400 10.44800
DATA: ANCHOR    146   CA     11 14.74700 32.47800 12.08700
DATA: ANCHOR    148   CA     21 19.87800 33.96500  9.87500

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV   144   146      N    CA     1    11      6.83694010      7.87759694

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0   144   144     CA     C     2     3      1.50428921      1.50428921
DATA: RIGID0   144   145     CA     N     2     5      2.38080758      2.38080758
DATA: RIGID0   144   145     CA    CA     2     6      3.73728495      3.73728495
DATA: RIGID0   144   145     CA     C     2     7      4.54753360      4.54753360
DATA: RIGID0   144   146     CA     N     2    10      5.26093089      5.26093089
DATA: RIGID0   144   146     CA    CA     2    11      6.42801377      6.42801377
DATA: RIGID0   144   145      C     N     3     5      1.33026100      1.33026100
DATA: RIGID0   144   145      C    CA     3     6      2.43973287      2.43973287
DATA: RIGID0   144   145      C     C     3     7      3.54341217      3.54341217
DATA: RIGID0   144   146      C     N     3    10      4.25333469      4.25333469
DATA: RIGID0   144   146      C    CA     3    11      5.57780974      5.57780974
DATA: RIGID0   145   145      N    CA     5     6      1.43800346      1.43800346
DATA: RIGID0   145   145      N     C     5     7      2.39844972      2.39844972
DATA: RIGID0   145   146      N     N     5    10      3.36615357      3.36615357
DATA: RIGID0   145   146      N    CA     5    11      4.64767607      4.64767607
DATA: RIGID0   145   145     CA     C     6     7      1.51507658      1.51507658
DATA: RIGID0   145   146     CA     N     6    10      2.40782219      2.40782219
DATA: RIGID0   145   146     CA    CA     6    11      3.77676325      3.77676325
DATA: RIGID0   145   146      C     N     7    10      1.32273550      1.32273550
DATA: RIGID0   145   146      C    CA     7    11      2.42775983      2.42775983
DATA: RIGID0   146   146      N    CA    10    11      1.44138311      1.44138311

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG0   144   144     CA    HA     2     4      1.09871505      1.09871505
DATA: HYDRORIG0   144   144      C    HA     3     4      2.18041141      2.18041141
DATA: HYDRORIG0   144   145     HA     H     4     8      2.22275783      2.42275783
DATA: HYDRORIG0   144   145     HA    HA     4     9      4.46338494      4.66338494
DATA: HYDRORIG0   144   145     CA     H     2     8      2.51395986      2.51395986
DATA: HYDRORIG0   144   145      C     H     3     8      2.03641303      2.03641303
DATA: HYDRORIG0   145   145      N     H     5     8      1.02364819      1.02364819
DATA: HYDRORIG0   145   145     CA     H     6     8      2.11243354      2.11243354
DATA: HYDRORIG0   145   145      H    HA     8     9      2.79548646      2.99548646
DATA: HYDRORIG0   145   146      H     H     8    13      3.92608932      4.12608932
DATA: HYDRORIG0   145   146      H    HA     8    14      4.51386337      4.71386337
DATA: HYDRORIG0   145   145      N    HA     5     9      2.06855700      2.06855700
DATA: HYDRORIG0   145   145     CA    HA     6     9      1.09765347      1.09765347
DATA: HYDRORIG0   145   145      C    HA     7     9      2.17395125      2.17395125
DATA: HYDRORIG0   145   146     HA     H     9    13      2.01790926      2.21790926
DATA: HYDRORIG0   145   146     HA    HA     9    14      4.28075031      4.48075031
DATA: HYDRORIG0   145   146     CA     H     6    13      2.53107972      2.53107972
DATA: HYDRORIG0   145   146      C     H     7    13      2.01796231      2.01796231
DATA: HYDRORIG0   146   146      N     H    10    13      1.00491150      1.00491150
DATA: HYDRORIG0   146   146     CA     H    11    13      2.10453969      2.10453969
DATA: HYDRORIG0   146   146      H    HA    13    14      2.77381838      2.97381838
DATA: HYDRORIG0   146   146      N    HA    10    14      2.06443801      2.06443801
DATA: HYDRORIG0   146   146     CA    HA    11    14      1.10187209      1.10187209

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID1   146   146     CA     C    11    12      1.53990819      1.53990819
DATA: RIGID1   146   147     CA     N    11    15      2.45580967      2.45580967
DATA: RIGID1   146   147     CA    CA    11    16      3.83983188      3.83983188
DATA: RIGID1   146   147     CA     C    11    17      4.53923988      4.53923988
DATA: RIGID1   146   148     CA     N    11    20      4.65028630      4.65028630
DATA: RIGID1   146   148     CA    CA    11    21      5.78197824      5.78197824
DATA: RIGID1   146   147      C     N    12    15      1.33842960      1.33842960
DATA: RIGID1   146   147      C    CA    12    16      2.44982390      2.44982390
DATA: RIGID1   146   147      C     C    12    17      3.15378044      3.15378044
DATA: RIGID1   146   148      C     N    12    20      3.55918385      3.55918385
DATA: RIGID1   146   148      C    CA    12    21      4.76493436      4.76493436
DATA: RIGID1   147   147      N    CA    15    16      1.46700415      1.46700415
DATA: RIGID1   147   147      N     C    15    17      2.48413788      2.48413788
DATA: RIGID1   147   148      N     N    15    20      2.87559623      2.87559623
DATA: RIGID1   147   148      N    CA    15    21      4.26766538      4.26766538
DATA: RIGID1   147   147     CA     C    16    17      1.52032819      1.52032819
DATA: RIGID1   147   148     CA     N    16    20      2.43281129      2.43281129
DATA: RIGID1   147   148     CA    CA    16    21      3.77765017      3.77765017
DATA: RIGID1   147   148      C     N    17    20      1.32939131      1.32939131
DATA: RIGID1   147   148      C    CA    17    21      2.39636675      2.39636675
DATA: RIGID1   148   148      N    CA    20    21      1.44171872      1.44171872

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG1   146   146      C    HA    12    14      2.18962779      2.18962779
DATA: HYDRORIG1   146   147     HA     H    14    18      3.35062445      3.55062445
DATA: HYDRORIG1   146   147     HA    HA    14    19      4.74940717      4.94940717
DATA: HYDRORIG1   146   148     HA     H    14    23      4.63331439      4.83331439
DATA: HYDRORIG1   146   147     CA     H    11    18      2.59891064      2.59891064
DATA: HYDRORIG1   146   147      C     H    12    18      2.05720368      2.05720368
DATA: HYDRORIG1   147   147      N     H    15    18      1.02795881      1.02795881
DATA: HYDRORIG1   147   147     CA     H    16    18      2.15263702      2.15263702
DATA: HYDRORIG1   147   147      H    HA    18    19      2.71846386      2.91846386
DATA: HYDRORIG1   147   148      H     H    18    23      2.65152798      2.85152798
DATA: HYDRORIG1   147   147      N    HA    15    19      2.07719462      2.07719462
