INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR    145   CA      2  6.67700 31.51700 21.05200
DATA: ANCHOR    147   CA     11  5.71900 36.21000 18.08400
DATA: ANCHOR    149   CA     21  8.67300 40.18400 13.25200

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV   150   149      H    HA    27    23      3.48051748      3.68051748

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0   145   145     CA     C     2     3      1.51346550      1.51346550
DATA: RIGID0   145   146     CA     N     2     5      2.46505056      2.46505056
DATA: RIGID0   145   146     CA    CA     2     6      3.81945866      3.81945866
DATA: RIGID0   145   146     CA     C     2     7      4.66073405      4.66073405
DATA: RIGID0   145   147     CA     N     2    10      4.36421198      4.36421198
DATA: RIGID0   145   147     CA    CA     2    11      5.63480595      5.63480595
DATA: RIGID0   145   146      C     N     3     5      1.32878666      1.32878666
DATA: RIGID0   145   146      C    CA     3     6      2.41668755      2.41668755
DATA: RIGID0   145   146      C     C     3     7      3.38223535      3.38223535
DATA: RIGID0   145   147      C     N     3    10      3.35708549      3.35708549
DATA: RIGID0   145   147      C    CA     3    11      4.74904585      4.74904585
DATA: RIGID0   146   146      N    CA     5     6      1.46635760      1.46635760
DATA: RIGID0   146   146      N     C     5     7      2.45775450      2.45775450
DATA: RIGID0   146   147      N     N     5    10      2.70441902      2.70441902
DATA: RIGID0   146   147      N    CA     5    11      4.15459663      4.15459663
DATA: RIGID0   146   146     CA     C     6     7      1.52323872      1.52323872
DATA: RIGID0   146   147     CA     N     6    10      2.43815125      2.43815125
DATA: RIGID0   146   147     CA    CA     6    11      3.79850970      3.79850970
DATA: RIGID0   146   147      C     N     7    10      1.33254247      1.33254247
DATA: RIGID0   146   147      C    CA     7    11      2.41401984      2.41401984
DATA: RIGID0   147   147      N    CA    10    11      1.46059058      1.46059058

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG0   145   145     CA    HA     2     4      1.09854007      1.09854007
DATA: HYDRORIG0   145   145      C    HA     3     4      2.08972581      2.08972581
DATA: HYDRORIG0   145   146     HA     H     4     8      3.25306568      3.45306568
DATA: HYDRORIG0   145   146     HA    HA     4     9      4.17633697      4.37633697
DATA: HYDRORIG0   145   147     HA     H     4    13      4.32657340      4.52657340
DATA: HYDRORIG0   145   146     CA     H     2     8      2.64634553      2.64634553
DATA: HYDRORIG0   145   146      C     H     3     8      2.03536062      2.03536062
DATA: HYDRORIG0   146   146      N     H     5     8      1.00005942      1.00005942
DATA: HYDRORIG0   146   146     CA     H     6     8      2.14039739      2.14039739
DATA: HYDRORIG0   146   146      H    HA     8     9      2.81288532      3.01288532
DATA: HYDRORIG0   146   147      H     H     8    13      2.43318367      2.63318367
DATA: HYDRORIG0   146   147      H    HA     8    14      4.44740011      4.64740011
DATA: HYDRORIG0   146   146      N    HA     5     9      2.06782349      2.06782349
DATA: HYDRORIG0   146   146     CA    HA     6     9      1.09473726      1.09473726
DATA: HYDRORIG0   146   146      C    HA     7     9      2.15268251      2.15268251
DATA: HYDRORIG0   146   147     HA     H     9    13      3.01266381      3.21266381
DATA: HYDRORIG0   146   147     HA    HA     9    14      4.56547955      4.76547955
DATA: HYDRORIG0   146   147     CA     H     6    13      2.59370473      2.59370473
DATA: HYDRORIG0   146   147      C     H     7    13      2.03505926      2.03505926
DATA: HYDRORIG0   147   147      N     H    10    13      0.99520033      0.99520033
DATA: HYDRORIG0   147   147     CA     H    11    13      2.13157592      2.13157592
DATA: HYDRORIG0   147   147      H    HA    13    14      2.81693504      3.01693504
DATA: HYDRORIG0   147   147      N    HA    10    14      2.09363043      2.09363043
DATA: HYDRORIG0   147   147     CA    HA    11    14      1.10223147      1.10223147

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID1   147   147     CA     C    11    12      1.52665968      1.52665968
DATA: RIGID1   147   148     CA     N    11    15      2.39938170      2.39938170
