INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR    106   CA      2 40.65700 40.24300  1.14700
DATA: ANCHOR    108   CA     11 39.72200 45.41100  2.88800
DATA: ANCHOR    110   CA     21 43.07900 47.34400  7.66200

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV   111   110      H    HA    28    24      2.26780172      2.46780172

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0   106   106     CA     C     2     3      1.50189007      1.50189007
DATA: RIGID0   106   107     CA     N     2     5      2.43445161      2.43445161
DATA: RIGID0   106   107     CA    CA     2     6      3.80265206      3.80265206
DATA: RIGID0   106   107     CA     C     2     7      4.50644984      4.50644984
DATA: RIGID0   106   108     CA     N     2    10      4.41305727      4.41305727
DATA: RIGID0   106   108     CA    CA     2    11      5.53294954      5.53294954
DATA: RIGID0   106   107      C     N     3     5      1.33565758      1.33565758
DATA: RIGID0   106   107      C    CA     3     6      2.44470644      2.44470644
DATA: RIGID0   106   107      C     C     3     7      3.15452639      3.15452639
DATA: RIGID0   106   108      C     N     3    10      3.35367654      3.35367654
DATA: RIGID0   106   108      C    CA     3    11      4.59223436      4.59223436
DATA: RIGID0   107   107      N    CA     5     6      1.45051813      1.45051813
DATA: RIGID0   107   107      N     C     5     7      2.44376759      2.44376759
DATA: RIGID0   107   108      N     N     5    10      2.73723983      2.73723983
DATA: RIGID0   107   108      N    CA     5    11      4.15024798      4.15024798
DATA: RIGID0   107   107     CA     C     6     7      1.50092332      1.50092332
DATA: RIGID0   107   108     CA     N     6    10      2.41966487      2.41966487
DATA: RIGID0   107   108     CA    CA     6    11      3.80861948      3.80861948
DATA: RIGID0   107   108      C     N     7    10      1.32525352      1.32525352
DATA: RIGID0   107   108      C    CA     7    11      2.47106078      2.47106078
DATA: RIGID0   108   108      N    CA    10    11      1.44809875      1.44809875

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG0   106   106     CA    HA     2     4      0.98927361      0.98927361
DATA: HYDRORIG0   106   106      C    HA     3     4      2.04667640      2.04667640
DATA: HYDRORIG0   106   107     HA     H     4     8      3.07108477      3.27108477
DATA: HYDRORIG0   106   107     HA    HA     4     9      4.44798874      4.64798874
DATA: HYDRORIG0   106   108     HA     H     4    13      3.67124689      3.87124689
DATA: HYDRORIG0   106   107     CA     H     2     8      2.52571472      2.52571472
DATA: HYDRORIG0   106   107      C     H     3     8      1.91961804      1.91961804
DATA: HYDRORIG0   107   107      N     H     5     8      0.87960219      0.87960219
DATA: HYDRORIG0   107   107     CA     H     6     8      2.02575097      2.02575097
DATA: HYDRORIG0   107   107      H    HA     8     9      2.55964834      2.75964834
DATA: HYDRORIG0   107   108      H     H     8    13      2.30839351      2.50839351
DATA: HYDRORIG0   107   107      N    HA     5     9      2.00374256      2.00374256
DATA: HYDRORIG0   107   107     CA    HA     6     9      1.00035746      1.00035746
DATA: HYDRORIG0   107   107      C    HA     7     9      2.04747060      2.04747060
DATA: HYDRORIG0   107   108     HA     H     9    13      3.16929985      3.36929985
DATA: HYDRORIG0   107   108     HA    HA     9    14      4.46578305      4.66578305
DATA: HYDRORIG0   107   108     CA     H     6    13      2.48172392      2.48172392
DATA: HYDRORIG0   107   108      C     H     7    13      1.89420715      1.89420715
DATA: HYDRORIG0   108   108      N     H    10    13      0.87950565      0.87950565
DATA: HYDRORIG0   108   108     CA     H    11    13      2.00733365      2.00733365
DATA: HYDRORIG0   108   108      H    HA    13    14      2.57909368      2.77909368
DATA: HYDRORIG0   108   108      N    HA    10    14      1.99415282      1.99415282
DATA: HYDRORIG0   108   108     CA    HA    11    14      0.99995389      0.99995389

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID1   108   108     CA     C    11    12      1.50733082      1.50733082
DATA: RIGID1   108   109     CA     N    11    15      2.46560856      2.46560856
DATA: RIGID1   108   109     CA    CA    11    16      3.82604506      3.82604506
DATA: RIGID1   108   109     CA     C    11    17      4.83651003      4.83651003
DATA: RIGID1   108   110     CA     N    11    20      4.83668541      4.83668541
DATA: RIGID1   108   110     CA    CA    11    21      6.14792750      6.14792750
DATA: RIGID1   108   109      C     N    12    15      1.32659033      1.32659033
DATA: RIGID1   108   109      C    CA    12    16      2.44215994      2.44215994
DATA: RIGID1   108   109      C     C    12    17      3.48803460      3.48803460
DATA: RIGID1   108   110      C     N    12    20      3.75929892      3.75929892
DATA: RIGID1   108   110      C    CA    12    21      5.12938662      5.12938662
DATA: RIGID1   109   109      N    CA    15    16      1.45451290      1.45451290
DATA: RIGID1   109   109      N     C    15    17      2.53852009      2.53852009
DATA: RIGID1   109   110      N     N    15    20      2.81667487      2.81667487
DATA: RIGID1   109   110      N    CA    15    21      4.26511829      4.26511829
DATA: RIGID1   109   109     CA     C    16    17      1.49267157      1.49267157
DATA: RIGID1   109   110     CA     N    16    20      2.42249574      2.42249574
DATA: RIGID1   109   110     CA    CA    16    21      3.78534680      3.78534680
DATA: RIGID1   109   110      C     N    17    20      1.36997142      1.36997142
DATA: RIGID1   109   110      C    CA    17    21      2.45087123      2.45087123
DATA: RIGID1   110   110      N    CA    20    21      1.45645129      1.45645129

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG1   108   108      C    HA    12    14      2.04599081      2.04599081
DATA: HYDRORIG1   108   109     HA     H    14    18      2.19893042      2.39893042
DATA: HYDRORIG1   108   109     HA    HA    14    19      4.25770210      4.45770210
DATA: HYDRORIG1   108   110     HA     H    14    23      3.86553287      4.06553287
DATA: HYDRORIG1   108   109     CA     H    11    18      2.57680354      2.57680354
DATA: HYDRORIG1   108   109      C     H    12    18      1.91114909      1.91114909
DATA: HYDRORIG1   109   109      N     H    15    18      0.87983227      0.87983227
DATA: HYDRORIG1   109   109     CA     H    16    18      2.02853059      2.02853059
DATA: HYDRORIG1   109   109      H    HA    18    19      2.75129057      2.95129057
DATA: HYDRORIG1   109   110      H     H    18    23      2.17821270      2.37821270
DATA: HYDRORIG1   109   110      H    HA    18    24      4.67542763      4.87542763
DATA: HYDRORIG1   109   109      N    HA    15    19      1.98508186      1.98508186
DATA: HYDRORIG1   109   109     CA    HA    16    19      1.00052289      1.00052289
DATA: HYDRORIG1   109   109      C    HA    17    19      2.01916767      2.01916767
DATA: HYDRORIG1   109   110     HA     H    19    23      3.17310674      3.37310674
DATA: HYDRORIG1   109   110     HA    HA    19    24      4.24520314      4.44520314
DATA: HYDRORIG1   109   110     CA     H    16    23      2.52081750      2.52081750
DATA: HYDRORIG1   109   110      C     H    17    23      1.96282169      1.96282169
DATA: HYDRORIG1   110   110      N     H    20    23      0.88020167      0.88020167
DATA: HYDRORIG1   110   110     CA     H    21    23      2.04313708      2.04313708
DATA: HYDRORIG1   110   110      H    HA    23    24      2.71868160      2.91868160
DATA: HYDRORIG1   110   110      N    HA    20    24      2.00491134      2.00491134
DATA: HYDRORIG1   110   110     CA    HA    21    24      0.99959646      0.99959646

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID2   110   110     CA     C    21    22      1.52441596      1.52441596
DATA: RIGID2   110   111     CA     N    21    25      2.44515754      2.44515754
DATA: RIGID2   110   111     CA    CA    21    26      3.80333990      3.80333990
DATA: RIGID2   110   111     CA     C    21    27      4.53677789      4.53677789
DATA: RIGID2   110   112     CA     N    21    30      4.31615690      4.31615690
DATA: RIGID2   110   112     CA    CA    21    31      5.51889532      5.51889532
DATA: RIGID2   110   112     CA     C    21    32      5.55952778      5.55952778
DATA: RIGID2   110   113     CA     N    21    35      4.84672855      4.84672855
DATA: RIGID2   110   113     CA    CA    21    36      5.52656350      5.52656350
DATA: RIGID2   110   113     CA     C    21    37      6.96836711      6.96836711
DATA: RIGID2   110   106     CA     N    21     1     10.77773057     10.77773057
DATA: RIGID2   110   106     CA    CA    21     2      9.93657435      9.93657435
DATA: RIGID2   110   111      C     N    22    25      1.34124837      1.34124837
DATA: RIGID2   110   111      C    CA    22    26      2.41039958      2.41039958
DATA: RIGID2   110   111      C     C    22    27      3.12477357      3.12477357
DATA: RIGID2   110   112      C     N    22    30      3.16100031      3.16100031
DATA: RIGID2   110   112      C    CA    22    31      4.46125791      4.46125791
DATA: RIGID2   110   112      C     C    22    32      4.64203381      4.64203381
DATA: RIGID2   110   113      C     N    22    35      3.92439174      3.92439174
DATA: RIGID2   110   113      C    CA    22    36      4.79749067      4.79749067
DATA: RIGID2   110   113      C     C    22    37      6.11742731      6.11742731
DATA: RIGID2   110   106      C     N    22     1     11.14635726     11.14635726
DATA: RIGID2   110   106      C    CA    22     2     10.47772961     10.47772961
DATA: RIGID2   111   111      N    CA    25    26      1.46969420      1.46969420
DATA: RIGID2   111   111      N     C    25    27      2.52950682      2.52950682
DATA: RIGID2   111   112      N     N    25    30      2.80519520      2.80519520
DATA: RIGID2   111   112      N    CA    25    31      4.27517685      4.27517685
DATA: RIGID2   111   112      N     C    25    32      4.88972242      4.88972242
DATA: RIGID2   111   113      N     N    25    35      4.45994172      4.45994172
DATA: RIGID2   111   113      N    CA    25    36      5.58343589      5.58343589
DATA: RIGID2   111   113      N     C    25    37      6.76986697      6.76986697
DATA: RIGID2   111   106      N     N    25     1     12.08183416     12.08183416
DATA: RIGID2   111   106      N    CA    25     2     11.45783150     11.45783150
DATA: RIGID2   111   111     CA     C    26    27      1.53313916      1.53313916
DATA: RIGID2   111   112     CA     N    26    30      2.46521741      2.46521741
DATA: RIGID2   111   112     CA    CA    26    31      3.85108653      3.85108653
DATA: RIGID2   111   112     CA     C    26    32      4.66071018      4.66071018
DATA: RIGID2   111   113     CA     N    26    35      4.33872385      4.33872385
DATA: RIGID2   111   113     CA    CA    26    36      5.54361526      5.54361526
DATA: RIGID2   111   113     CA     C    26    37      6.48282210      6.48282210
DATA: RIGID2   111   106     CA     N    26     1     12.61940026     12.61940026
DATA: RIGID2   111   106     CA    CA    26     2     12.14529262     12.14529262
DATA: RIGID2   111   112      C     N    27    30      1.32991019      1.32991019
DATA: RIGID2   111   112      C    CA    27    31      2.44531061      2.44531061
DATA: RIGID2   111   112      C     C    27    32      3.38432743      3.38432743
DATA: RIGID2   111   113      C     N    27    35      3.33821052      3.33821052
DATA: RIGID2   111   113      C    CA    27    36      4.67376580      4.67376580
DATA: RIGID2   111   113      C     C    27    37      5.41593899      5.41593899
DATA: RIGID2   111   106      C     N    27     1     13.52168385     13.52168385
DATA: RIGID2   111   106      C    CA    27     2     13.06443369     13.06443369
DATA: RIGID2   112   112      N    CA    30    31      1.48398415      1.48398415
DATA: RIGID2   112   112      N     C    30    32      2.48319006      2.48319006
DATA: RIGID2   112   113      N     N    30    35      2.71326371      2.71326371
DATA: RIGID2   112   113      N    CA    30    36      4.15636992      4.15636992
DATA: RIGID2   112   113      N     C    30    37      4.99715691      4.99715691
