INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR     11   CA      2 -0.63700 19.29600  0.46500
DATA: ANCHOR     14   CA     16 -8.99300 17.50600 -4.43400
DATA: ANCHOR     17   CA     31 -17.20000 12.35300 -6.42000

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV    18    17      H    HA    38    34      3.49461444      3.69461444

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0    11    11     CA     C     2     3      1.52660470      1.52660470
DATA: RIGID0    11    12     CA     N     2     5      2.39882269      2.39882269
DATA: RIGID0    11    12     CA    CA     2     6      3.76977920      3.76977920
DATA: RIGID0    11    12     CA     C     2     7      4.38494640      4.38494640
DATA: RIGID0    11    13     CA     N     2    10      5.51245726      5.51245726
DATA: RIGID0    11    13     CA    CA     2    11      6.49457726      6.49457726
DATA: RIGID0    11    13     CA     C     2    12      7.77027533      7.77027533
DATA: RIGID0    11    14     CA     N     2    15      8.52853408      8.52853408
DATA: RIGID0    11    14     CA    CA     2    16      9.85023032      9.85023032
DATA: RIGID0    11    12      C     N     3     5      1.31940908      1.31940908
DATA: RIGID0    11    12      C    CA     3     6      2.40426401      2.40426401
DATA: RIGID0    11    12      C     C     3     7      3.11566408      3.11566408
DATA: RIGID0    11    13      C     N     3    10      4.13744403      4.13744403
DATA: RIGID0    11    13      C    CA     3    11      5.25115278      5.25115278
DATA: RIGID0    11    13      C     C     3    12      6.49273492      6.49273492
DATA: RIGID0    11    14      C     N     3    15      7.38004564      7.38004564
DATA: RIGID0    11    14      C    CA     3    16      8.68492818      8.68492818
DATA: RIGID0    12    12      N    CA     5     6      1.45671719      1.45671719
DATA: RIGID0    12    12      N     C     5     7      2.40899453      2.40899453
DATA: RIGID0    12    13      N     N     5    10      3.58373480      3.58373480
DATA: RIGID0    12    13      N    CA     5    11      4.79328968      4.79328968
DATA: RIGID0    12    13      N     C     5    12      5.83250809      5.83250809
DATA: RIGID0    12    14      N     N     5    15      6.68470478      6.68470478
DATA: RIGID0    12    14      N    CA     5    16      7.89146688      7.89146688
DATA: RIGID0    12    12     CA     C     6     7      1.53459083      1.53459083
DATA: RIGID0    12    13     CA     N     6    10      2.42760575      2.42760575
DATA: RIGID0    12    13     CA    CA     6    11      3.80601233      3.80601233
DATA: RIGID0    12    13     CA     C     6    12      4.67011614      4.67011614
DATA: RIGID0    12    14     CA     N     6    15      5.65758711      5.65758711
DATA: RIGID0    12    14     CA    CA     6    16      6.79195063      6.79195063
DATA: RIGID0    12    13      C     N     7    10      1.32555978      1.32555978
DATA: RIGID0    12    13      C    CA     7    11      2.41848109      2.41848109
DATA: RIGID0    12    13      C     C     7    12      3.44485378      3.44485378
DATA: RIGID0    12    14      C     N     7    15      4.32432641      4.32432641
DATA: RIGID0    12    14      C    CA     7    16      5.58171123      5.58171123
DATA: RIGID0    13    13      N    CA    10    11      1.46974221      1.46974221
DATA: RIGID0    13    13      N     C    10    12      2.43354007      2.43354007
