INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR    405   CA      2 18.36700 42.06400  7.84600
DATA: ANCHOR    406   CA      6 18.53100 45.65700  6.72700
DATA: ANCHOR    407   CA     11 21.76500 46.45100  8.59100

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV   405   406      N    CA     1     6      3.14268519      4.94915729

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0   405   405     CA     C     2     3      1.51555291      1.51555291
DATA: RIGID0   405   406     CA     N     2     5      2.42269385      2.42269385
DATA: RIGID0   405   406     CA    CA     2     6      3.76678988      3.76678988
DATA: RIGID0   405   406      C     N     3     5      1.32468300      1.32468300
DATA: RIGID0   405   406      C    CA     3     6      2.39107539      2.39107539
DATA: RIGID0   406   406      N    CA     5     6      1.43918045      1.43918045

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG0   405   405     CA    HA     2     4      1.10006799      1.10006799
DATA: HYDRORIG0   405   405      C    HA     3     4      2.16974720      2.16974720
DATA: HYDRORIG0   405   406     HA     H     4     8      2.72779691      2.92779691
DATA: HYDRORIG0   405   406     HA    HA     4     9      4.25254642      4.45254642
DATA: HYDRORIG0   405   406     CA     H     2     8      2.57357085      2.57357085
DATA: HYDRORIG0   405   406      C     H     3     8      2.02519717      2.02519717
DATA: HYDRORIG0   406   406      N     H     5     8      0.99312602      0.99312602
DATA: HYDRORIG0   406   406     CA     H     6     8      2.10930395      2.10930395
DATA: HYDRORIG0   406   406      H    HA     8     9      2.64254202      2.84254202
DATA: HYDRORIG0   406   406      N    HA     5     9      2.04248367      2.04248367
DATA: HYDRORIG0   406   406     CA    HA     6     9      1.09399781      1.09399781

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID1   406   406     CA     C     6     7      1.53675795      1.53675795
DATA: RIGID1   406   407     CA     N     6    10      2.45292760      2.45292760
DATA: RIGID1   406   407     CA    CA     6    11      3.81624009      3.81624009
DATA: RIGID1   406   407      C     N     7    10      1.32768169      1.32768169
DATA: RIGID1   406   407      C    CA     7    11      2.41500329      2.41500329
DATA: RIGID1   407   407      N    CA    10    11      1.45950620      1.45950620

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: HYDRORIG1   406   406      C    HA     7     9      2.12563549      2.12563549
DATA: HYDRORIG1   406   407     HA     H     9    13      3.41011064      3.61011064
DATA: HYDRORIG1   406   407     HA    HA     9    14      4.27099305      4.47099305
DATA: HYDRORIG1   406   407     CA     H     6    13      2.60557196      2.60557196
DATA: HYDRORIG1   406   407      C     H     7    13      2.03337529      2.03337529
DATA: HYDRORIG1   407   407      N     H    10    13      1.00142510      1.00142510
DATA: HYDRORIG1   407   407     CA     H    11    13      2.13297658      2.13297658
DATA: HYDRORIG1   407   407      H    HA    13    14      2.79756004      2.99756004
DATA: HYDRORIG1   407   407      N    HA    10    14      2.04417651      2.04417651
DATA: HYDRORIG1   407   407     CA    HA    11    14      1.10470440      1.10470440

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID2   407   407     CA     C    11    12      1.51775276      1.51775276
DATA: RIGID2   407   408     CA     N    11    15      2.42643796      2.42643796
DATA: RIGID2   407   408     CA    CA    11    16      3.79256929      3.79256929
DATA: RIGID2   407   408     CA     C    11    17      4.81652131      4.81652131
DATA: RIGID2   407   405     CA     N    11     1      5.94065990      5.94065990
DATA: RIGID2   407   405     CA    CA    11     2      5.59885680      5.59885680
DATA: RIGID2   407   408      C     N    12    15      1.32815433      1.32815433
DATA: RIGID2   407   408      C    CA    12    16      2.41492749      2.41492749
DATA: RIGID2   407   408      C     C    12    17      3.58474481      3.58474481
DATA: RIGID2   407   405      C     N    12     1      5.64945706      5.64945706
DATA: RIGID2   407   405      C    CA    12     2      5.63438727      5.63438727
DATA: RIGID2   408   408      N    CA    15    16      1.46092175      1.46092175
DATA: RIGID2   408   408      N     C    15    17      2.50238498      2.50238498
DATA: RIGID2   408   405      N     N    15     1      4.51397928      4.51397928
DATA: RIGID2   408   405      N    CA    15     2      4.63906564      4.63906564
DATA: RIGID2   408   408     CA     C    16    17      1.51330968      1.51330968
